algorithm,delta,evaluation_iterations,gamma,goal_reward,iterations,memory,moves,openness,policy_iterations,runtime,seed,size,step_cost,work
DFS,,,,,,12,22,0.1,,0.00045959999260958284,1,10,,46
BFS,,,,,,8,18,0.1,,0.0006044000037945807,1,10,,70
A*_Manhattan,,,,,,11,18,0.1,,0.0005295000009937212,1,10,,28
A*_Euclidean,,,,,,13,18,0.1,,0.0002364000101806596,1,10,,51
Value_Iteration,0,,0.9,100,20,100,18,0.1,,0.0044977664947509766,1,10,-1,1980
Policy_Iteration,,133,0.9,100,,100,18,0.1,8,0.0041010379791259766,1,10,-1,13167
DFS,,,,,,9,24,0.1,,2.8399997972883284e-05,2,10,,25
BFS,,,,,,13,18,0.1,,8.410000009462237e-05,2,10,,97
A*_Manhattan,,,,,,11,18,0.1,,7.409999670926481e-05,2,10,,52
A*_Euclidean,,,,,,10,18,0.1,,9.819999104365706e-05,2,10,,64
Value_Iteration,0,,0.9,100,25,100,18,0.1,,0.0040285587310791016,2,10,-1,2475
Policy_Iteration,,136,0.9,100,,100,18,0.1,14,0.0045087337493896484,2,10,-1,13464
DFS,,,,,,9,22,0.1,,2.7400004910305142e-05,3,10,,26
BFS,,,,,,9,22,0.1,,8.730000990908593e-05,3,10,,98
A*_Manhattan,,,,,,12,22,0.1,,9.960000170394778e-05,3,10,,72
A*_Euclidean,,,,,,10,22,0.1,,0.00011390000872779638,3,10,,78
Value_Iteration,0,,0.9,100,26,100,22,0.1,,0.004349470138549805,3,10,-1,2574
Policy_Iteration,,137,0.9,100,,100,22,0.1,15,0.004135608673095703,3,10,-1,13563
DFS,,,,,,54,144,0.1,,0.00016950001008808613,1,20,,171
BFS,,,,,,24,42,0.1,,0.0003536000003805384,1,20,,393
A*_Manhattan,,,,,,34,42,0.1,,0.00025290000485256314,1,20,,174
A*_Euclidean,,,,,,30,42,0.1,,0.0003328000020701438,1,20,,220
Value_Iteration,0,,0.9,100,47,400,42,0.1,,0.02073192596435547,1,20,-1,18753
Policy_Iteration,,246,0.9,100,,400,42,0.1,30,0.0410611629486084,1,20,-1,98154
DFS,,,,,,17,54,0.1,,5.649999366141856e-05,2,20,,57
BFS,,,,,,19,42,0.1,,0.00033939999411813915,2,20,,396
A*_Manhattan,,,,,,41,42,0.1,,0.0002733000001171604,2,20,,192
A*_Euclidean,,,,,,28,42,0.1,,0.0004020000051241368,2,20,,268
Value_Iteration,0,,0.9,100,43,400,42,0.1,,0.020642995834350586,2,20,-1,17157
Policy_Iteration,,208,0.9,100,,400,42,0.1,21,0.03315019607543945,2,20,-1,82992
DFS,,,,,,18,58,0.1,,6.570000550709665e-05,3,20,,64
BFS,,,,,,29,40,0.1,,0.00035180000122636557,3,20,,397
A*_Manhattan,,,,,,29,40,0.1,,0.00015049999637994915,3,20,,98
A*_Euclidean,,,,,,32,40,0.1,,0.00032890000147745013,3,20,,212
Value_Iteration,0,,0.9,100,45,400,40,0.1,,0.021009206771850586,3,20,-1,17955
Policy_Iteration,,201,0.9,100,,400,40,0.1,25,0.03273797035217285,3,20,-1,80199
DFS,,,,,,59,196,0.1,,0.00023829999554436654,1,30,,250
BFS,,,,,,31,68,0.1,,0.0007764000038150698,1,30,,900
A*_Manhattan,,,,,,71,68,0.1,,0.0009430999925825745,1,30,,655
A*_Euclidean,,,,,,47,68,0.1,,0.001171800002339296,1,30,,785
Value_Iteration,0,,0.9,100,69,900,68,0.1,,0.06928777694702148,1,30,-1,62031
Policy_Iteration,,362,0.9,100,,900,68,0.1,45,0.1357564926147461,1,30,-1,325438
DFS,,,,,,51,156,0.1,,0.00019269999756943434,2,30,,197
BFS,,,,,,33,64,0.1,,0.0007557000062661245,2,30,,863
A*_Manhattan,,,,,,52,64,0.1,,0.00036869999894406646,2,30,,247
A*_Euclidean,,,,,,55,64,0.1,,0.0007956000044941902,2,30,,496
Value_Iteration,0,,0.9,100,74,900,64,0.1,,0.07752275466918945,2,30,-1,66526
Policy_Iteration,,358,0.9,100,,900,64,0.1,42,0.1346135139465332,2,30,-1,321842
DFS,,,,,,26,84,0.1,,9.259999205823988e-05,3,30,,93
BFS,,,,,,30,62,0.1,,0.0007464999944204465,3,30,,882
A*_Manhattan,,,,,,61,62,0.1,,0.00037179999344516546,3,30,,255
A*_Euclidean,,,,,,43,62,0.1,,0.0007126999989850447,3,30,,477
Value_Iteration,0,,0.9,100,63,900,62,0.1,,0.06822776794433594,3,30,-1,56637
Policy_Iteration,,346,0.9,100,,900,62,0.1,42,0.12813520431518555,3,30,-1,311054
DFS,,,,,,62,184,0.1,,0.00019160000374540687,1,40,,204
BFS,,,,,,44,88,0.1,,0.0013352999958442524,1,40,,1600
A*_Manhattan,,,,,,77,88,0.1,,0.000879899991559796,1,40,,612
A*_Euclidean,,,,,,55,88,0.1,,0.0016235000075539574,1,40,,1066
Value_Iteration,0,,0.9,100,89,1600,88,0.1,,0.15900778770446777,1,40,-1,142311
Policy_Iteration,,467,0.9,100,,1600,88,0.1,51,0.3071744441986084,1,40,-1,746733
DFS,,,,,,49,158,0.1,,0.00018940000154543668,2,40,,197
BFS,,,,,,42,84,0.1,,0.0013488999975379556,2,40,,1595
A*_Manhattan,,,,,,89,84,0.1,,0.0008203000033972785,2,40,,560
A*_Euclidean,,,,,,66,84,0.1,,0.001716300001135096,2,40,,1096
Value_Iteration,0,,0.9,100,90,1600,84,0.1,,0.1666874885559082,2,40,-1,143910
Policy_Iteration,,474,0.9,100,,1600,84,0.1,52,0.32054853439331055,2,40,-1,757926
DFS,,,,,,52,146,0.1,,0.00017240000306628644,3,40,,157
BFS,,,,,,42,94,0.1,,0.0013987999991513789,3,40,,1599
A*_Manhattan,,,,,,103,94,0.1,,0.0017416000046068802,3,40,,1167
A*_Euclidean,,,,,,60,94,0.1,,0.002086300009978004,3,40,,1355
Value_Iteration,0,,0.9,100,95,1600,94,0.1,,0.1717369556427002,3,40,-1,151905
Policy_Iteration,,463,0.9,100,,1600,94,0.1,51,0.3026468753814697,3,40,-1,740337
DFS,,,,,,147,424,0.1,,0.0006542000046465546,1,50,,658
BFS,,,,,,52,106,0.1,,0.0023071999894455075,1,50,,2492
A*_Manhattan,,,,,,117,106,0.1,,0.0014273999986471608,1,50,,949
A*_Euclidean,,,,,,85,106,0.1,,0.0029768999957013875,1,50,,1881
Value_Iteration,0,,0.9,100,108,2500,106,0.1,,0.32108020782470703,1,50,-1,269892
Policy_Iteration,,606,0.9,100,,2500,106,0.1,71,0.647381067276001,1,50,-1,1514394
DFS,,,,,,78,250,0.1,,0.00032639999699313194,2,50,,347
BFS,,,,,,52,114,0.1,,0.0022380000009434298,2,50,,2496
A*_Manhattan,,,,,,140,114,0.1,,0.0019668999884743243,2,50,,1354
A*_Euclidean,,,,,,106,114,0.1,,0.0031516000017290935,2,50,,2055
Value_Iteration,0,,0.9,100,117,2500,114,0.1,,0.3408987522125244,2,50,-1,292383
Policy_Iteration,,656,0.9,100,,2500,114,0.1,79,0.7039012908935547,2,50,-1,1639344
DFS,,,,,,97,278,0.1,,0.0004071000003023073,3,50,,422
BFS,,,,,,57,112,0.1,,0.0020809999987250194,3,50,,2491
A*_Manhattan,,,,,,140,112,0.1,,0.0018887000042013824,3,50,,1273
A*_Euclidean,,,,,,87,112,0.1,,0.003114599996479228,3,50,,2051
Value_Iteration,0,,0.9,100,113,2500,112,0.1,,0.33371400833129883,3,50,-1,282387
Policy_Iteration,,574,0.9,100,,2500,112,0.1,69,0.6130163669586182,3,50,-1,1434426
